text,label
"Reoperations on heart valve prostheses: an analysis of operative risks and late results. To evaluate risks and complications of reoperations on heart valve prostheses, we reviewed data on 183 patients who underwent reoperation because of prosthetic valve malfunction. The incremental effect of the redo procedure on hospital mortality and morbidity was studied by comparing primary and reoperative procedures and analyzing a series of possible predisposing factors. Late survival after first and second reoperations was computed, and possible determinants of late mortality were examined. Overall operative mortality was 8.7%; emergency operation (p = 0.0001), previous thromboembolism (p = 0.05), and advanced New York Heart Association functional class (p = 0.031) were the independent determinants. In a series of 1,355 patients having primary or secondary isolated valve replacement, the redo procedure was a significant risk factor in the univariate analysis (p = 0.025) but not in the multivariate analysis except for the subset of patients having mitral valve replacement (p = 0.052). The postoperative course was quite complicated, as evidenced by the long mean stay in the intensive care unit (mean stay, 3.8 days; longer than 2 days for 26% of the survivors). Nevertheless, postoperative complications were not significantly greater after a redo procedure than after a primary operation. Actuarial survival at 7 years was 57.3% +/- 8%. A comparison with a nonhomogeneous series from our institution did not demonstrate significant differences. In the subset of 16 patients having a second reoperation, late survival was 37.8% +/- 16% at 2 years. Advanced New York Heart Association class (p = 0.0001), double prosthetic valve dysfunction (p = 0.003), and any indication other than primary tissue failure (p = 0.06) were determinants of late mortality. ",4
"Malnutrition and carbohydrate malabsorption in children with vertically transmitted human immunodeficiency virus 1 infection. The nutritional needs of children with human immunodeficiency virus infection are poorly understood. Twenty-eight children with vertically transmitted human immunodeficiency virus infection were evaluated for carbohydrate malabsorption using lactose hydrogen breath tests and d-xylose absorption studies. Lactose malabsorption was a common finding in human immunodeficiency virus-infected children and occurred in 8 of 20 patients who had no identifiable enteric pathogen. Lactose malabsorption occurred at an earlier age in human immunodeficiency virus-infected children than in an age-matched group of 45 symptomatic control children (P = 0.02). However, lactose malabsorption was not associated with higher rates of diarrhea or growth failure. Abnormalities in d-xylose absorption were not significantly associated with either diarrhea or growth failure. However, 39% of d-xylose studies (9 of 23) showed abnormal results and were significantly associated with enteric infections (P = 0.004). Abnormalities in small-bowel morphology were found in 4 of 9 children with growth failure, 3 of whom had an enteric infection and low d-xylose absorption. Lactose hydrogen breath testing and d-xylose testing showed carbohydrate malabsorption in 61% of children (17 of 28). This study demonstrates that human immunodeficiency virus-infected children are at risk for malabsorptive disorders, which are not always related to clinical symptoms. We speculate that human immunodeficiency virus may be directly involved in the development of lactose malabsorption. Carbohydrate malabsorption in human immunodeficiency virus-infected children may not be the only factor responsible for growth failure. ",1
"Complete follow-up and evaluation of a skin cancer screening in Connecticut. On May 21, 1988, 251 persons were screened for skin cancer in New Haven, Connecticut. A total body skin examination was performed on 98% of the participants. On the basis of follow-up of 93% of persons with positive screens for basal cell carcinoma, squamous cell carcinoma, or Bowen's disease, positive predictive values were 43% for basal cell carcinoma, 14% for squamous cell carcinoma, and 50% for Bowen's disease. In the group with atypical nevi, a person with two or more clinically atypical nevi was 16 times more likely to have histologic confirmation than a person with a single clinically atypical nevus (p = 0.003). Eighty persons were screened by both a dermatologist and a dermatology nurse; the crude agreement rate for actinic keratoses was 0.62; for atypical nevi, 0.53; and for BCC, 0.88. Both nurses and physicians overdiagnosed in the screening setting, the nurses more so than the physicians. Of the 128 persons screened who were advised to seek medical follow-up, 16 did not do so despite several reminders; their reasons are discussed. ",0
"Gastrointestinal motor dysfunction in acquired selective cholinergic dysautonomia associated with infectious mononucleosis. This report documents the disturbance in gastrointestinal motor function in a patient with selective cholinergic dysautonomia that occurred following acute infectious mononucleosis. Apart from the gut, other organs affected included the pupils, sweat glands, lacrimal and salivary glands, and urinary bladder. Autonomic function tests showed the preservation of sympathetic adrenergic functions in contrast to the generalized involvement of postganglionic parasympathetic and sympathetic cholinergic nerves, including denervation hypersensitivity of the pupil and urinary bladder to exogenous cholinergic agonists. Cardiac and abdominal vagal responses were abnormal. Colon myenteric plexus ganglion cells were normal by morphological and immunohistochemical studies, suggesting that the selective cholinergic dysautonomia was the most likely pathophysiologic process responsible for the observed motility disorder. This study documents the occurrence of selective cholinergic dysautonomia following a viral illness, the importance of the extrinsic neural control on the motor function of the gastrointestinal tract, and the usefulness of combined motility and autonomic function testing in the evaluation of patients with symptoms suggestive of gut dysmotility. ",2
"Effect of sleep-induced increases in upper airway resistance on respiratory muscle activity. To investigate the response of inspiratory and expiratory muscles to naturally occurring inspiratory resistive loads in the absence of conscious control, five male ""snorers"" were studied during non-rapid-eye-movement (NREM) sleep with and without continuous positive airway pressure (CPAP). Diaphragm (EMGdi) and scalene (EMGsc) electromyographic activity were monitored with surface electrodes and abdominal EMG activity (EMGab) with wire electrodes. Subjects were studied in the following conditions: 1) awake, 2) stage 2 sleep, 3) stage 3/4 sleep, 4) CPAP during stage 3/4 sleep, 5) CPAP plus end-tidal CO2 pressure (PETCO2) isocapnic to stage 2 sleep, and 6) CPAP plus PETCO2 isocapnic to stage 3/4 sleep. Inspired pulmonary resistance (RL) at peak flow rate and PETCO2 increased in all stages of sleep. Activity of EMGdi, EMGsc, and EMGab increased significantly in stage 3/4 sleep. CPAP reduced RL at peak flow, increased tidal volume and expired ventilation, and reduced PETCO2. EMGdi and EMGsc were reduced, and EMGab was silenced. During CPAP, with CO2 added to make PETCO2 isocapnic to stage 3/4 sleep, EMGsc and EMGab increased, but EMGdi was augmented in only one-half of the trials. EMG activity in this condition, however, was only 75% (EMGsc) and 43% (EMGab) of the activity observed during eupneic breathing in stage 3/4 sleep when PETCO2 was equal but RL was much higher. We conclude that during NREM sleep 1) inspiratory and expiratory muscles respond to internal inspiratory resistive loads and the associated dynamic airway narrowing and turbulent flow developed throughout inspiration, 2) some of the augmentation of respiratory muscle activity is also due to the hypercapnia that accompanies loading, and 3) the abdominal muscles are the most sensitive to load and CO2 and the diaphragm is the least sensitive. ",4
"Methodologic issues in assessing the quality of life of cancer patients. Although quality of life assessments have been employed successfully in descriptive and evaluative studies in oncology, their use in cancer clinical trials has, to date, been limited. A range of issues have impeded the conduct of clinical trial-based quality of life investigations. These include: the absence of theoretical models to guide the development of quality of life measures; over-reliance on ad hoc approaches to quality of life assessment; and insufficient attention to the practical constraints operating in clinical research settings. Of primary importance is the need to develop multidimensional quality of life instruments that are brief and psychometrically robust. It is suggested that future work on instrument development focus on refining currently available generic or cancer-specific measures, and on developing new diagnostic-specific questionnaire modules. This psychometric work should be guided by appropriate theoretical models of the relationship among health-related quality of life domains. Although it is widely accepted that the patient represents the most appropriate source of quality of life data, it is suggested that efforts also be directed toward improving the validity and reliability of physician-generated assessments of patients' performance status and of treatment toxicities, and toward determining the feasibility of employing family members as proxy raters of the psychologic and social health status of patients who are unwilling or unable to provide such information. Additional attention should be paid to the many logistical problems that arise in clinical trial-based quality of life investigations. In particular, research designs and data collection procedures should be selected that minimize patient, medical staff, and institutional burden. ",0
"Addition of clonidine enhances postoperative analgesia from epidural morphine: a double-blind study. This study was undertaken to evaluate the analgesic effect of the combination of epidural morphine and clonidine versus epidural morphine alone in patients with postoperative pain. A randomized double-blind design was used, and 91 patients scheduled for post-operative pain relief by epidural morphine were studied. Patients received either a continuous epidural infusion of morphine and clonidine (group 1; n = 45) or morphine alone (group 2; n = 46) over the 72 h after major abdominal surgery. In the first 24 h, the dose of morphine was 6 mg per 24 h; during the second 24 h, it was decreased to 4 mg per 24 h; and in the final 24 h, it was decreased to 2 mg per 24 h in both groups. Group 1 patients received clonidine (450 micrograms) during each 24-h period. Additional epidural bolus injections of 2 mg morphine and intravenous meperidine were given on demand. The pain score, blood pressure, heart rate, respiratory rate, and relative forced vital capacity were measured at fixed times during the first 72 h after operation. Total consumption of analgesics and side effects were recorded. Although the total consumption of analgesics was significantly higher in group 2 (P less than 0.05), pain scores were lower in group 1 than group 2 during the entire observation period (P less than 0.05). Epidural clonidine produced a significant decrease (P less than 0.05) in heart rate and blood pressure, whereas the respiratory rate was not affected. Due to the better pain relief in group 1, the forced vital capacity was increased (P less than 0.05). ",4
"Effects of nisoldipine on myocardial ischemia during exercise and during daily activity. The antiischemic properties of nisoldipine, a dihydropyridine calcium antagonist, were assessed in a multicenter, double-blind, placebo-controlled trial by repeated exercise testing and 72-hour ambulatory electrocardiographic monitoring in 82 patients with coronary artery disease. Patients with positive treadmill stress test results and greater than or equal to 2 ischemic episodes per 24 hours were included in this study. Administration of all chronic antiischemic medications except beta blockers were discontinued. During the first week all patients received placebo twice daily. During the second and third weeks, 41 patients received nisoldipine 10 mg and 41 patients received placebo twice daily. In the placebo group there were no changes in exercise parameters or in ambulatory electrocardiographic parameters. In the nisoldipine group, exercise duration increased from 403 to 448 seconds (p = 0.0035), time to 1 mm of ST depression increased from 224 to 298 seconds (p = 0.002), time to pain increased from 241 to 321 seconds (p = 0.01), and maximal ST depression was reduced from 2.6 to 2.3 mm (p = 0.002). Among the ambulatory electrocardiographic parameters in the nisoldipine group, only the number of episodes was reduced, from 14.4 to 11.6 (p = 0.0013) per patient. There was no significant reduction in total ischemic time (132 vs 120 minutes per patient). No significant side effects were observed. This is the largest clinical trial to date on the effects of nisoldipine on myocardial ischemia. The results indicate that nisoldipine was effective in improving all exercise parameters and only partially effective in suppressing ischemia during daily activity. ",3
"Whither short-course chemotherapy for tuberculous meningitis? Short-course chemotherapy is well established for the treatment of pulmonary tuberculosis but not for extrapulmonary disease. We present a series of 35 cases in which chemotherapy for tuberculous meningitis was given for a period of less than 2 years. Short-term therapy was associated with recrudescence of tuberculous meningitis and, in some cases, with the development of deep cerebral infarcts and permanent neurological deficits. We think short-term chemotherapy for tuberculosis of the central nervous system is inadequate. ",4
"Effects of short spaceflights on mechanical characteristics of rat muscles. The aim of this study was to investigate the contractile protein characteristics after 5-day (Cosmos 1514) and 7-day (Cosmos 1667) spaceflights. The experiments were performed on skinned fibers from the soleus, gastrocnemius lateralis, and plantaris muscles isolated from Wistar rats. A reduction in fiber diameter might explain the decrease in the maximal tension in the soleus, whereas this tension was unaltered in the gastrocnemius and the plantaris. Moreover the calcium sensitivity of the myofilament appeared modified in the soleus and in the gastrocnemius: The tension/pCa relationships were shifted toward higher calcium concentrations, indicating a decrease in the apparent calcium binding constant of the troponin C. The tension/pCa relationship appeared unaltered in the plantaris after spaceflight. Finally, the studies of the time to reach a steady tension indicated an increase in the rate of force development in the soleus and, on the contrary, a slowing down in the plantaris. No change in the gastrocnemius was found. The results were analyzed with references to the different muscle functions in disuse atrophy. ",2
